t,xP,xR,vP,vR,phiP,phiR,F^intra,F^inter,L^intra,L^inter,tauドットPR,tauPR,tauRB,e2,e4a,e4b,e5,e6,e7,e8
6.083333333333317,50.58901894527605,80,11.586317292388749,,1.5281863417162498,0,4.681666853258568,0,2.4748273757079398,1,,,,0,0,0,0,0,0,0
6.099999999999984,50.782124233482534,80,11.588181854873689,,1.7733178449287825,0,4.685033692331399,0,2.473446855641949,1,,,,0,0,0,0,0,0,0
6.116666667,50.975260597730426,80,11.589772025980622,,2.018625635422932,0,4.688375416744448,0,2.472023034799637,1,,,,0,0,0,0,0,0,0
6.133333333333317,51.168423464830084,80,11.591094692480999,,2.264108398198188,0,4.691690849983779,0,2.4705580702362506,1,,,,0,0,0,0,0,0,0
6.1499999999999835,51.36160837637141,80,11.592156814224369,,2.509764756651913,0,4.694978819118204,0,2.469054123741834,1,,,,0,0,0,0,0,0,0
6.166666667,51.554810989941814,80,11.592965421630918,,2.7555932727669368,0,4.6982381549898635,0,2.4675133612199636,1,,,,0,0,0,0,0,0,0
6.183333333333317,51.748027080302336,80,11.593527613169746,,3.001592447309127,0,4.701467692393268,0,2.465937952084085,1,,,,0,0,0,0,0,0,0
6.199999999999983,51.941252540521816,80,11.593850552825506,,3.247760720034335,0,4.7046662702426785,0,2.4643300686718987,1,,,,0,0,0,0,0,0,0
6.216666667,52.134483383068925,80,11.593941467556043,,3.494096469904103,0,4.707832731727691,0,2.4626918856782054,1,,,,0,0,0,0,0,0,0
6.2333333333333165,52.32771574086155,80,11.59380764474366,,3.740598015309524,0,4.710965924456928,0,2.4610255796066225,1,,,,0,0,0,0,0,0,0
6.249999999999983,52.52094586827394,80,11.593456429642542,,3.987263614,0,4.714064700589729,0,2.459333328240531,1,,,,0,0,0,0,0,0,0
6.266666667,52.714170142101295,80,11.592895222825055,,4.234091464834615,0,4.717127917,0,2.457617310133627,1,,,,0,0,0,0,0,0,0
6.283333333333316,52.907385062481694,80,11.592131477629357,,4.481079705000473,0,4.720154435162462,0,2.4558797041203952,1,,,,0,0,0,0,0,0,0
6.299999999999983,53.10058725377553,80,11.591172697610954,,4.728226413289068,0,4.7231431216902715,0,2.4541226888468333,1,,,,0,0,0,0,0,0,0
6.3166666666666496,53.29377346540235,80,11.590026434000643,,4.975529608838324,0,4.726092847975569,0,2.452348442321706,1,,,,0,0,0,0,0,0,0
6.333333333333316,53.48694057263572,80,11.588700283171342,,5.222987251694712,0,4.7290024904812915,0,2.450559141488612,1,,,,0,0,0,0,0,0,0
6.349999999999983,53.680085577355214,80,11.587201884116231,,5.470597243076443,0,4.731870930755195,0,2.4487569618191047,1,,,,0,0,0,0,0,0,0
6.366666666666649,53.87320560875713,80,11.585538915940548,,5.718357425639703,0,4.734697055475734,0,2.446944076927104,1,,,,0,0,0,0,0,0,0
6.383333333333316,54.06629792402282,80,11.58371909536939,,5.966265583747299,0,4.737479756485533,0,2.445122658204811,1,,,,0,0,0,0,0,0,0
6.399999999999983,54.25935990894567,80,11.581750174273747,,6.214319443739054,0,4.740217930812469,0,2.443294874480306,1,,,,0,0,0,0,0,0,0
6.416666666666649,54.45238907851689,80,11.57963993721701,,0.17933136702371932,0,4.742910480678343,0,2.441462891697012,1,,,,0,0,0,0,0,0,0
6.433333333333316,54.64538307747051,80,11.577396199024031,,0.4276695790692713,0,4.745556313495165,0,2.4396288726151742,1,,,,0,0,0,0,0,0,0
6.449999999999982,54.838339680787556,80,11.575026802374818,,0.6761463265971558,0,4.748154341849081,0,2.4377949765354803,1,,,,0,0,0,0,0,0,0
6.466666666666649,55.03125679416047,80,11.572539615424866,,0.9247591065715484,0,4.750703483471953,0,2.4359633590449463,1,,,,0,0,0,0,0,0,0
6.483333333333316,55.22413245441754,80,11.569942529453975,,1.173505359289197,0,4.753202661,0,2.434136171785163,1,,,,0,0,0,0,0,0,0
6.499999999999982,55.416964829908466,80,11.56724345654542,,1.4223824686467201,0,4.7556508029240225,0,2.4323155622429793,1,,,,0,0,0,0,0,0,0
6.516666666666649,55.60975222085091,80,11.56445032729717,,1.6713877624051285,0,4.758046841517821,0,2.4305036735636887,1,,,,0,0,0,0,0,0,0
6.5333333333333155,55.802493059639175,80,11.561571088566827,,1.920518512450937,0,4.760389714767265,0,2.428702644386768,1,,,,0,0,0,0,0,0,0
6.549999999999982,55.99518591,80,11.558613701251797,,2.1697719350532245,0,4.762678365277676,0,2.4269146087041933,1,,,,0,0,0,0,0,0,0
6.566666666666649,56.18782947280283,80,11.55558613810618,,2.4191451911160144,0,4.764911740373041,0,2.425141695741358,1,,,,0,0,0,0,0,0,0
6.583333333333315,56.38042258,80,11.55249638159569,,2.668635386425343,0,4.767088791982637,0,2.423386029860584,1,,,,0,0,0,0,0,0,0
6.599999999999982,56.572964181464556,80,11.549352421791914,,2.9182395718903913,0,4.769208477,0,2.421649730487228,1,,,,0,0,0,0,0,0,0
